TE	sense	antisense	total	RNAseq	div	copies	length
LTR6F_Cpo	878	1410	2288	759.31	20.711	13289	350.658
CAVID1C	959	1314	2273	14694.64	11.806	13223	85.715
CAVID2A	1577	647	2224	17338.58	13.235	6084	76.012
HAL1-3D_Cpo	779	1365	2144	704.69	3.384	822	2318.026
LTR6F2_Cpo	875	1233	2109	152.96	19.436	1908	295.248
LTR6C_Cpo	248	1776	2024	404.24	16.829	4165	325.212
HAL1-1F_Cpo	1678	335	2014	606.36	2.833	1793	1652.028
L1-3A_Cpo	1742	243	1985	49.16	23.186	16058	602.627
LTR6E_Cpo	390	1485	1874	633.67	18.873	16157	334.041
LTR8_Cpo	1488	268	1756	1354.75	16.563	14934	345.792
LTR6G_Cpo	127	1556	1683	420.63	22.057	7577	228.895
LTR6B2a_Cpo	347	1328	1675	147.49	16.932	1063	315.675
HAL1-4C_Cpo	1029	584	1613	202.12	12.352	2307	1373.839
HAL1-1C_Cpo	967	636	1603	1447.61	6.51	4715	2175.067
ID-B1_Cpo	1372	196	1568	25603.63	21.831	183413	126.075
LTR6B2_Cpo	240	1287	1527	147.49	15.665	1151	329.417
ERV2B-CPo_I	219	1124	1342	262.21	20.869	2371	583.491
CAVID1B	963	339	1302	32748.83	12.094	10826	84.55
LTR6D_Cpo	188	1017	1204	928.66	17.646	10777	310.186
ERV2-3d_CPo-LTR	1088	90	1178	139162.02	2.385	426	411.082
HAL1-1H_Cpo	739	418	1157	76581.45	4.826	272	1740.287
LTR6H_Cpo	246	867	1112	781.16	23.757	12577	286.649
LTR6B_Cpo	227	883	1110	382.39	15.663	2441	308.041
ERV1NA-CPo_I	360	730	1090	513.49	21.315	8197	668.368
ERV1A-CPo_I	152	884	1035	38.24	30.184	2686	638.696
HAL1-1G_Cpo	634	371	1005	447.94	2.508	1537	2008.662
ERV2-3c_CPo-LTR	267	730	997	22336.94	6.104	623	539.321
ERV2-3d_CPo-I	311	505	816	86529.01	6.965	430	646.444
LTR8C_CPo	497	281	778	289.52	24.438	9858	375.459
ERV2-3C1a_CPo-LTR	275	500	775	1201.79	10.158	383	477.595
LTR12C_Cpo	162	587	749	60.09	21.366	3079	398.01
CAVID2C2	332	280	612	7975.53	16.116	11308	75.678
CAVID2C	235	342	577	9630.72	15.08	19758	76.721
HAL1-2B_Cpo	236	324	561	278.6	11.519	2378	1973.038
HAL1-2A_Cpo	143	370	513	98.33	7.904	470	1807.023
ERV2-4b_CPo-LTR	28	358	386	38.24	23.536	320	176.844
HAL1-3A_Cpo	272	107	379	442.48	12.312	4115	1763.737
HAL1-3C_Cpo	274	79	353	256.75	8.438	2707	2045.168
STRIDE_Cpo	208	39	246	16677.59	22.706	207697	138.938
LTR6I_Cpo	14	220	234	120.18	27.407	77032	269.317
B1F1A	197	36	233	66917.95	16.458	92696	132.371
ERV2-3c1_CPo-LTR	65	167	233	2130.45	5.915	1418	419.944
ERV2B2-CPo_LTR	19	134	153	185.73	9.127	680	316.913
LTR1_CPo	29	123	152	21.85	9.194	64	373.062
CAVID2B2	124	24	148	5927.02	23.7	33539	71.766
LTR4_Cpo	75	60	135	759.31	8.351	1392	359.239
ERV2-3b_CPo-LTR	56	69	126	16.39	4.895	168	466.714
LTR3_Cpo	122	1	123	1567.79	14.36	3708	344.356
LTR7C_Cpo	32	51	83	0	14.019	84	389.036
ERV1A1-CPo_LTR	8	60	68	251.28	6.205	450	383.24
LTR7B_Cpo	24	44	68	16.39	11.271	182	385.758
BC1_Cpo	67	0	67	16.39	26.626	16153	65.79
LTR4C_Cpo	41	12	53	76.48	4.699	317	475.618
LTR2B2_Cpo	2	48	50	557.19	23.279	3166	259.688
LTR2C_Cpo	1	32	32	1748.06	20.677	2350	229.385
P7SL_Cpo	13	17	30	111935.98	24.812	1619	59.156
ERV2A3-CPo_LTR	22	7	29	98.33	9.421	73	331.342
ERV2-5_CPo-LTR	5	23	28	0	1.759	82	427.927
LTR2B_Cpo	6	18	24	568.12	16.251	813	279.256
ERV2A-CPo_LTR	0	19	19	950.51	9.787	713	358.481
ERV1NA-CPo_LTR	4	8	12	256.75	7.692	248	465.153
ERV1A-CPo_LTR	7	0	8	305.91	9.063	631	385.539
ERV2B-CPo_LTR	0	8	8	289.52	10.982	705	313.329
ERV2A2-CPo_LTR	0	5	5	163.88	10.122	216	378.12
LTR4B_Cpo	3	1	4	43.7	11.974	174	408.351
ERV2B1-CPo_LTR	0	1	1	49.16	12.326	269	318.178
LTR10_Cpo	0	1	1	180.27	8.072	184	375.37
