TE	sense	antisense	total	RNAseq	div	copies	length
LTR1B1	200	217	418	458.7	15.353	174	638.684
CHARLIE7	154	256	411	2.33			
LTR24C	77	322	399	13.97	14.353	380	321.818
MER66B	92	294	386	69.85	17.161	1490	298.493
HERV38I	189	190	379				
LTR14A	358	16	374	1359.81	6.962	144	317.34
L1MEE_5	42	330	372				
MER65C	328	41	370	9.31	18.951	703	314.563
L1ME3	156	209	366	242.16	24.385	9515	359.182
MER52D	209	153	363	67.52	20.177	680	896.451
LTR3B	306	55	362	2575.26	11.288	90	398.444
LTR61	287	74	361	16.3	12.749	202	363.965
L1ME2	186	174	360	409.81	24.519	13175	432.392
LTR27C	295	63	358	32.6	16.638	189	554.413
LOOPER	193	154	347	2.33			
L1M2B_5	180	167	346	11.64			
LTR23	0	344	344	53.55	15.027	863	206.76
GOLEM_C	336	0	336	100.12			
LTR1C	90	246	336	1106.01	13.136	64	595.812
L1M3B_5	113	221	334	4.66			
LTR58	332	2	334	6.99	17.931	75	360.24
LTR65	282	52	334	4.66	21.854	468	272.212
HERV1_LTR	280	49	329	6.99			
CHARLIE2A	94	234	328	0			
MER110	10	310	320	2.33	25.963	791	236.247
MER65D	86	234	320	2.33	21.6	536	240.821
L1MCC_5	252	64	316	2.33			
L1PA13_5	52	262	314	18.63			
L1MC4	179	132	311	74.51	24.685	25768	332.066
L1MDB_5	5	305	310	9.31			
MER31	3	308	310	67.52	21.816	1147	451.629
MER61C	75	232	307	742.77	14.785	316	356.487
L1PBB_5	55	236	292	18.63			
MLT1H1	116	176	291	81.5	26.865	3783	305.099
MER4E1	283	4	287	2950.14	10.091	1102	410.325
MER4E	203	81	283	903.44	10.489	745	470.03
LTR45	80	202	282	86.15	18.187	177	304.667
LTR77	94	186	280	11.64	15.209	105	498.876
LTR10C	22	253	275	239.83	8.262	543	459.112
L1M3C_5	77	196	274	2.33			
L1MEB_5	259	10	269	0			
LTR2	149	118	267	13.97	8.557	900	415.522
MLT1K	196	66	262	65.2	28.104	17650	223.276
L1MB5	86	172	258	961.65	19.223	10184	399.513
LTR41	155	103	258	13.97	22.973	1205	306.456
MER52A	50	208	258	144.36	19.814	1438	1181.306
HERVG25	110	147	257	0			
L1MD3	209	42	252	302.7	21.017	5482	331.921
LTR26	194	58	252	83.82	17.071	614	411.489
MER72	40	209	250	142.04	17.183	796	422.202
MER41A	217	32	249	1858.1	9.175	2654	375.854
LTR51	0	248	248	16.3	17.991	416	419.514
MER67A	154	93	247	6.99	19.977	480	252.931
L1MB4	153	92	244	705.52	18.267	9394	393.213
LTR13	41	200	241	179.29	7.83	525	853.941
MER51B	48	193	241	1145.6	11.084	726	300.523
CHARLIE8	176	64	240	4.66			
LTR57	32	207	239	23.28	16.235	283	311.721
MER99	85	153	238	2.33	21.816	300	327.857
LTR26D	40	196	236	46.57	15.053	218	344.477
LTR46	220	11	231	102.45	14.466	262	306.458
LTR22B2	34	189	222	13.97	10.161	41	340.659
LTR42	73	146	219	32.6	19.134	337	344.415
MLT1N2	146	72	219	27.834	5621	182.294	
LTR29	170	47	217	65.2	18.171	757	294.616
LTR21A	0	215	215	14.181	95	405.221	
MER34B	59	156	215	95.47	18.809	661	324.708
LTR48	55	159	214	109.44	19.967	1003	370.327
MER51A	45	168	213	861.52	13.53	955	419.997
MER67B	127	81	208	128.06	21.131	497	341.728
LTR76	202	0	202	76.84	12.155	206	495.869
MLT1L	149	53	202	0	27.62	11970	208.157
LTR14B	162	34	196	1133.95	9.937	372	460.578
MER4CL34	92	103	196	48.9	17.286	951	364.505
MER57B2	92	102	194	158.33	16.326	1142	270.353
LTR35B	118	76	193	6.99	23.032	207	298.744
LTR26E	43	150	192	151.35	18.684	118	358.831
LTR28	59	129	189	293.38	17.657	164	650.067
MER34C	13	175	189	800.99	18.853	192	224.797
MER66A	94	95	189	44.24	19.127	339	346.926
KANGA2_A	174	14	188				
LTR72B	187	1	188	20.96	14.937	163	318.35
MER41B	153	32	185	579.78	12.294	2934	371.983
L1MED_5	13	169	183	2.33			
LTR9A1	20	160	181	556.5	14.377	475	468.242
LTR21C	13	164	176	13.594	36	250.361	
LTR14C	113	62	175	4.66	9.263	137	515.511
PABL_A	121	54	175	149.02	9.268	545	467.881
L1ME1	51	122	173	486.65	23.792	31790	482.349
MER61B	68	105	173	393.51	16.278	432	326.917
MER4D1	143	28	172	516.91	12.858	1598	449.12
L1MD1	8	163	171	90.81	19.282	6941	588.369
MER4C	0	170	170	76.84	12.671	695	320.894
LTR27	138	28	166	11.64	18.373	107	526.383
LTR75B	58	108	166	24.405	202	298.718	
HERV4_LTR	19	146	165				
LTR41B	21	144	165	18.63	24.638	872	298.655
PTR5	134	31	165	83.82			
MER68B	164	0	164	55.88	22.547	469	324.793
LTR18A	0	163	163	190.93	16.74	198	311.354
LTR44	159	4	163	81.5	17.233	233	311.631
MER48	116	46	162	228.19	10.537	196	362.245
MER69C	65	97	162	9.31			
MER52C	108	53	161	181.62	15.56	386	819.197
LTR50	38	122	160	9.31	24.128	2614	269.023
MER52B	99	62	160	144.36			
LTR9D	20	138	159	309.68	16.238	770	448.074
MER63D	107	52	159	34.93	21.196	1770	162.44
MLT1I	99	60	159	39.58	28.002	11062	210.775
HAL1B	37	120	157	0			
L1M6B_5end	0	156	156				
MER41C	110	45	155	130.39	12.96	839	315.275
MER66C	14	139	153	67.52	15.928	594	275.756
MER75	23	124	147	153.68	11.702	487	379.729
MLT1G3	48	98	147	4.66	25.7	2809	308.917
MER57A1	0	146	146	1401.72	12.906	1092	354.247
MER77	146	0	146	179.29	22.853	1391	382.224
MER31B	0	140	140	181.62	19.693	1533	306.997
MER45B	2	138	140	13.97	20.973	1334	365.693
LTR38	67	72	138	16.3	22.279	262	383.718
LTR41C	106	32	138	2.33	23.177	769	269.397
MLT1G2	34	101	136	74.51			
LTR38B	6	126	132	74.51	17.985	238	374.727
MER73	124	5	129	44.24	17.824	287	392.456
CHARLIE9	98	28	126	39.58			
LTR22E	92	34	126	18.63	13.38	118	421.458
MER101B	4	120	124	9.31	21.295	264	285.784
MLT1H2	70	54	124	207.23	25.467	4847	210.26
LTR9	71	51	122	195.59	14.196	841	434.873
MER84	120	0	120	39.58	14.156	365	287.595
LTR38A1	74	45	119	0	20.239	162	283.167
LTR19A	0	116	116	93.14	12.103	458	355.384
LTR40C	28	86	114	4.66			
MER113	112	3	114	24.695	3858	200.607	
MER11D	19	96	114	1150.25	5.668	268	746.231
MLT1H	26	88	114	186.28	26.141	10153	269.238
L1MC1	107	6	113	1713.74	16.455	13299	590.661
LTR66	48	64	112	142.04	12.167	427	286.878
LTR53B	15	94	109	74.51	20.941	199	398.884
L1MD2	7	101	108	176.96	21.688	11113	459.845
CHESHIRE	64	43	107	53.55			
MER45R	3	104	107	11.64	22.282	670	264.387
MER83	84	23	107	27.94	14.55	516	314.452
LTR38C	43	59	102	13.97	16.431	132	391.591
LTR19C	86	13	100	39.58	16.358	138	484.63
LTR55	94	7	100	2.33	22.326	427	357.632
LTR47A2	35	61	96	32.6	15.298	288	262.639
LTR49	52	41	93	144.36	16.728	1549	318.056
LTR9B	7	86	93	158.33	13.376	708	395.986
LTR60B	46	45	91	502.94	18.03	231	432.913
HSMAR2	70	19	90	5292.56	13.407	1842	612.627
MER67D	6	83	90	48.9	20.815	1021	315.344
FORDPREFECT	51	38	89	6.99			
LTR26C	0	86	86	135.05	16.392	329	338.146
MER54B	30	56	86	11.64	18.58	440	396.218
LTR6B	80	2	82	3150.39	6.116	164	501.128
MER103B	82	0	82				
LTR70	55	24	79	79.17	15.032	159	626.057
Merlin1_HS	16	63	79	15.07	60	295.333	
LTR10D	0	78	78	13.97	10.482	183	431.219
LTR8A	12	65	78	107.11	16.605	1483	452.777
MER61A	72	2	74	353.92	15.548	814	303.861
L1ME4A	26	48	73	6.99			
LTR22C2	28	44	72	25.61	15.03	82	451.902
MER72B	29	43	72	16.3	18.496	191	379.906
LTR40A	14	55	69	25.61			
LTR71A	24	43	67	39.58	10.358	172	383.297
HSTC2	66	1	66	13.97			
L1ME3A	44	23	66	51.23	24.849	16098	369.201
LTR13A	54	11	65	149.02	6.867	211	800.232
LTR56	0	65	65	65.2	18.2	1055	277.95
LTR16D	54	10	64	4.66	29.073	1107	231.178
MER41G	34	30	64	6.99	15.831	118	382.839
MER30B	45	17	62	2102.59	10.708	262	148.344
MER70C	54	8	62	4.66	22.869	279	350.301
LTR27E	0	60	60	4.66	20.336	217	725.184
LTR59	0	60	60	9.31	16.051	111	355.225
MER61D	2	58	60	102.45	15.371	266	360.613
LTR16E	32	27	59	2.33			
MER20B	36	23	59	6.99	25.994	4207	228.561
MER45C	2	57	59	2.33	25.818	1242	267.023
MER92A	25	34	59	24.722	155	267.948	
MER95	0	59	59	25.61	18.817	141	276.028
MER101	35	22	58	76.84	17.732	370	298.284
MER57F	2	57	58	13.97	18.849	423	298.17
L1MEA_5	42	11	54	0			
MER74C	44	10	54	6.99	21.097	232	317.944
LTR1	8	45	52	1755.65	13.231	246	612.48
LTR47A	3	50	52	125.74	16.07	692	295.382
LTR71B	48	4	52	88.48	11.525	251	425.331
MER106B	52	1	52	2.33	20.33	817	172.596
MER74B	35	17	52	20.96	23.884	958	332.899
LTR91	0	51	51	26.954	334	124.766	
MER21	26	24	50	2.33	22.498	1070	514.698
MER85	0	50	50	717.16	7.312	930	122.453
LTR24B	14	34	48	18.63	18.829	458	298.731
MER112	38	10	48	30.27	23.569	4305	152.843
LTR27B	1	46	47	186.28	16.339	171	422.813
MER89	12	36	47	13.97	20.315	1421	304.373
IN25	34	12	46	0			
MER4A1	6	40	46	3776.74	10.887	2301	352.183
MER68C	44	1	45	0	22.945	166	248.536
LTR15	36	8	44	165.32	11.149	311	388.039
LTR11	32	10	41				
LTR24	2	39	41	30.27	16.929	312	302.859
LTR73	21	20	41	30.27	17.597	229	382.419
MER54A	29	12	41	116.42	20.206	778	445.581
TIGGER9	27	14	41				
MER113B	38	2	40	9.31	23.373	562	156.774
MER87	10	31	40	2.33	22.228	164	374.896
ERV3-16A3_LTR	4	34	38	27.949	1099	256.393	
LTR40B	12	26	38	132.72			
PRIMA4_LTR	2	37	38	97.79	10.668	342	426.798
MER90	36	0	37	114.09	24.657	700	322.547
LTR22B1	13	23	36	647.31	14.711	156	456.827
RLTR10C	26	10	36				
LTR16C	19	16	35	27.566	6693	265.235	
PrimLTR79	1	34	35	9.31	17.549	142	240.542
LTR48B	11	24	34	62.87	21.876	1015	358.656
MER21A	32	2	34	95.47	17.792	2069	372.713
MER88	10	24	34	0	20.243	112	324.482
LTR9C	24	9	33	30.27	15.036	173	444.277
MLT1G1	16	16	31	16.3	26.183	3671	321.367
LTR16A2	18	13	30	0	26.419	1819	274.973
LTR45C	0	30	30	60.54	16.581	474	316.363
MER41F	30	0	30	51.23			
LTR18C	13	15	28	25.61	15.049	78	291.513
MER92B	0	27	28	18.63	22.437	835	314.037
LTR36	0	27	27	13.97	18.44	504	378.393
MER110A	27	0	27	2.33	23.415	639	255.552
MER94	27	0	27	2.33	24.927	4557	104.975
TIGGER8	27	0	27				
LTR4	7	18	26	4.66	15.931	106	469.066
LTR06	12	13	25	18.63	16.742	103	271.515
LTR27D	2	23	24	11.64	18.071	266	422.391
LTR37B	22	2	24	41.91	23.117	2086	217.431
MER4B	10	15	24	179.29	12.925	1776	404.409
LTR19B	1	22	23	90.81	11.222	289	427.73
LOR1	17	5	22	535.54	16.217	1362	541.479
MER107	22	0	22	605.4	8.546	362	144.599
MER70A	22	0	22	74.51	20.967	544	386.73
LTR45B	20	0	21	58.21	16.851	446	315.365
MARNA	10	11	21	55.88	28.43	3248	176.713
MER117	16	3	19	2.33	30.14	4148	131.452
MER87B	0	19	19	55.88	14.75	212	333.486
LTR69	11	7	18	9.31	18.317	147	379.891
MER66D	16	2	18	2.33	16.223	244	303.434
MER5B	0	17	17	193.26	25.611	25363	115.216
MER70B	17	0	17	44.24	23.572	996	263.913
LTR37A	14	2	15	13.97	21.162	2033	221.36
MLT1G	10	5	15	4.66	25.826	2807	308.62
LTR31	4	11	14	13.97	19.862	252	409.357
LTR6A	12	1	13	169.98	14.034	326	464.031
LTR43B	4	9	12	4.66	19.575	252	315.206
MER103C	12	0	12	2.33	27.286	8744	153.795
MER94B	0	12	12	24.03	575	88.529	
MER49	11	0	11	107.11	17.068	1444	403.204
MER97A	10	2	11	16.3			
MER97B	10	2	11	11.64			
MER97C	10	2	11	11.64			
L1MC2	3	7	10	861.52	17.998	6549	506.801
LTR21B	0	10	10	9.31	15.498	52	286.25
MER28	10	0	10	649.64			
MER63B	10	0	10	23.28	21.917	2431	188.005
RLTR10B	0	10	10				
CHESHIRE_A	1	8	9	707.85			
CHESHIRE_B	1	8	9	204.9			
MER75B	6	3	9	9.31	8.663	125	164.664
MER63A	8	0	8	13.97	25.101	3571	172.414
AmnSINE1_HS	6	0	6	2.33			
CR1_HS	4	1	6				
MER65B	1	4	5	174.63	22.718	212	223.547
MER83B	5	0	5	186.28	14.443	152	253.138
RMER10B	2	3	5				
LTR14	0	4	4	13.97	9.799	97	479.247
LTR72	3	2	4	16.3	14.741	161	354.553
MER106	3	1	4	4.66			
MER45	0	4	4	370.22			
MER33	1	2	3	216.55	18.8	9821	193.953
MER34	1	2	3	16.3	21.682	1331	268.257
MER96	0	3	3	2.33	22.928	1288	110.505
MER96B	3	0	3	11.64	19.509	2233	152.488
LTR22B	2	0	2	81.5	13.541	154	432.299
MER8	0	2	2	11.64	22.022	1999	184.599
MER83C	1	1	2	116.42	16.997	152	293.572
ZOMBI_A	2	0	2	1022.19			
LTR47B2	0	1	1	39.58	15.455	173	349.624
LTR52	1	0	1	13.97	22.76	1103	265.686
MER119	1	0	1	2.33	23.133	1216	259.2
MER53	0	0	1	221.2	17.222	5991	126.997
MER80B	1	0	1				
FORDPREFECT_A	0	0	0				
LTR60	0	0	0	16.924	45	211.311	
