TE	Name	sense	antisense	total	RNAseq	div	copies	length
rnd-6_family-8449#Unknown	B4A	232	578	810	97.25	20.271	1950	174.959
rnd-4_family-152#Unknown	rnd-4_family-152#Unknown	0	791	791	0	22.258	1921	291.178
rnd-6_family-2124#Unknown	rnd-6_family-2124#Unknown	90	694	784	0	19.163	712	410.942
rnd-1_family-17#Unknown	PB1D9	164	611	775	673.52	13.988	251	332.219
rnd-4_family-364#Unknown	MTD	152	622	774	504.24	22.965	8736	282.109
rnd-1_family-134#Unknown	B4A	112	657	770	691.53	14.419	5495	229.226
rnd-4_family-246#Unknown	LTR90A	47	723	770	39.62	23.348	3043	135.646
rnd-1_family-317#LTR/ERVK	ORR1E-int	182	556	738	0	19.968	66	182.061
rnd-6_family-2265#LTR/ERVL-MaLR	PB1D9	731	6	738	0	26.636	813	249.97
rnd-1_family-84#Unknown	B4	2	720	722	108.05	19.268	558	73.31
rnd-5_family-753#Unknown	rnd-5_family-753#Unknown	3	717	720	226.91	22.904	357	220.952
rnd-1_family-4#Unknown	PB1D9	206	512	718	8143.52	15.363	4209	117.282
rnd-4_family-255#Unknown	PB1D7	14	693	707	0	23.037	2241	116.633
rnd-3_family-50#Unknown	B4	612	85	696	425	16.013	4555	327.719
rnd-1_family-1#Unknown	B4	196	494	691	889.63	15.058	1980	128.832
rnd-6_family-3287#Unknown	B4	50	611	660	551.07	15.301	1894	98.891
rnd-6_family-4198#Unknown	B4	89	557	646	7.2	24.069	2970	100.3
rnd-6_family-502#Unknown	PB1D9	566	77	642	7.2	15.808	912	174.196
rnd-6_family-1533#Unknown	rnd-6_family-1533#Unknown	0	636	636	0	24.328	243	303.918
rnd-6_family-2226#LTR/ERVK	MIR3	526	108	635	0	15.475	186	736.237
rnd-1_family-18#Unknown	B4	148	475	623	2647.27	13.724	21	66.333
rnd-3_family-32#LINE/L1	L1MA4	251	361	612	39.62	18.09	4825	335.09
rnd-3_family-4#Unknown	MTD	282	308	590	407	18.625	2256	173.75
rnd-6_family-2079#Unknown	L2b	18	565	583	75.64	14.656	499	384.411
rnd-5_family-210#Unknown	Charlie29b	370	206	576	14.41	22.941	4052	353.323
rnd-3_family-64#Unknown	B4	97	460	557	1523.53	19.625	48300	163.393
rnd-1_family-336#Unknown	rnd-1_family-336#Unknown	547	2	549	0	13.311	18	67.611
rnd-1_family-71#Unknown	L1MC5	502	46	548	14.41	16.714	473	164.135
rnd-6_family-613#Unknown	B4	105	441	545	270.13	22.372	2209	79.053
rnd-1_family-34#Unknown	B4A-1	490	47	537	81424.41	13.058	24560	207.86
rnd-6_family-1425#Unknown	B4	388	145	532	961.66	19.884	2692	75.958
rnd-6_family-379#Unknown	PB1D9	38	494	532	857.21	21.394	5096	109.756
rnd-1_family-40#Unknown	LX3	171	349	520	147.67	7.346	10560	372.19
rnd-4_family-197#Unknown	MTEa-int	236	276	512	4815.52	15.187	38591	160.213
rnd-1_family-193#Unknown	MTE2b-int	0	504	504	122.46	16.016	68	77.088
rnd-5_family-507#Unknown	ORR1D1	314	176	491	2964.23	18.161	17266	119.422
rnd-6_family-6887#Unknown	PB1D9	52	439	491	208.9	19.099	2262	119.845
rnd-1_family-292#Unknown	L1MA4	100	385	486	14.41	13.866	719	228.224
rnd-1_family-91#LINE/L1	L3	383	103	486	0	14.633	9	59.889
rnd-1_family-235#Unknown	L2	69	414	483	713.14	13.239	3137	376.505
rnd-6_family-195#Unknown	PB1D9	66	412	478	190.89	23.174	4616	118.756
rnd-1_family-146#Unknown	MTEa	473	1	475	194.49	16.016	25	97.04
rnd-1_family-248#Unknown	Lx7	333	134	467	61.23	15.637	896	184.306
rnd-6_family-1139#Unknown	PB1D9	9	440	450	252.12	20.453	1104	76.317
rnd-1_family-44#Unknown	LX3	102	343	446	201.7	12.835	2968	332.978
rnd-5_family-467#Unknown	Lx8	0	445	445	0	27.098	3686	312.928
rnd-4_family-322#Unknown	B4	280	163	443	4087.97	12.584	12256	160.594
rnd-6_family-7202#Unknown	B4	310	110	420	569.07	23.364	11030	127.937
rnd-1_family-331#Unknown	OldhAT1	141	278	419	187.29	10.868	1151	220.407
rnd-3_family-205#LINE/L1	Lx7	312	106	418	3.6	24.34	12682	354.336
rnd-6_family-1745#LTR/ERV	L3	261	156	418	3.6	13.428	162	995.216
rnd-1_family-194#Unknown	LTR41B	348	67	415	169.28	11.351	2201	301.527
rnd-1_family-36#Unknown	B4-2	363	51	414	42604.92	10.102	4962	194.483
rnd-2_family-121#Unknown	ORR1D1	202	197	400	237.71	17.815	11753	132.914
rnd-3_family-119#Unknown	X12_DNA	166	226	392	61.23	19.214	2906	320.48
rnd-1_family-293#Unknown	rnd-5_family-77#Unknown	355	19	374	201.7	17.625	1609	240.434
rnd-5_family-77#Unknown	B4A	0	374	374	0	25.456	403	265.109
rnd-5_family-289#LTR/ERVK	rnd-5_family-289#LTR/ERVK	175	194	369	0	22.393	247	397.749
rnd-1_family-167#Unknown	rnd-1_family-167#Unknown	0	363	363	39.62	14.553	17	79.471
rnd-6_family-8355#Unknown	B4	80	281	361	3.6	19.246	307	400.345
rnd-1_family-3#Unknown	B4-7	205	149	354	10682.74	9.705	9120	192.574
rnd-1_family-305#Unknown	PB1D9	350	0	350	21.61	13.213	236	84.314
rnd-1_family-213#Unknown	MLT2D	27	320	347	10.81	6.555	625	115.587
rnd-1_family-70#Unknown	L3	195	151	347	1120.14	14.697	789	191.096
rnd-5_family-1260#Unknown	rnd-5_family-1260#Unknown	345	0	345	3680.97	23.76	1771	143.676
rnd-4_family-645#Unknown	B4	242	96	338	352.97	16.783	10234	121.49
rnd-5_family-777#Unknown	MTD	138	193	330	572.68	21.158	11935	307.619
rnd-6_family-444#Unknown	rnd-6_family-444#Unknown	77	246	323	0	17.975	345	537.171
rnd-1_family-260#Unknown	rnd-1_family-260#Unknown	322	0	322	50.42	19.146	1471	153.434
rnd-1_family-296#Unknown	LTR84a	154	168	322	14.41	15.182	819	141.106
rnd-5_family-418#Unknown	PB1D9	318	1	319	7.2	23.646	3212	109.659
rnd-1_family-214#Unknown	MTD	308	8	316	25.21	4.748	143	72.769
rnd-1_family-303#Unknown	PB1D7	269	44	312	14.41	13.611	764	185.317
rnd-1_family-68#Unknown	MLT2D	108	202	310	868.02	16.437	13765	313.249
rnd-4_family-425#Unknown	B4	89	219	308	846.41	15.304	5765	351.303
rnd-6_family-3091#Unknown	rnd-6_family-3091#Unknown	4	296	300	302.55	21.588	126	292.071
rnd-6_family-1809#Unknown	ORR1D1-int	297	2	299	716.75	19.58	751	113.264
rnd-6_family-1707#Unknown	B4	17	279	296	43.22	24.74	4043	148.507
rnd-6_family-350#Unknown	MTE2a	19	277	296	10.81	24.153	7064	264.344
rnd-1_family-8#Unknown	B4-4	178	117	295	17083.03	8.2	25068	178.835
rnd-6_family-137#LINE/L1	Lx6	201	89	290	3.6	23.345	12600	342.815
rnd-1_family-150#Unknown	Lx6	287	1	288	75.64	20.445	238	127.218
rnd-3_family-36#Unknown	ORR1D2	12	271	282	75.64	23.495	15997	255.087
rnd-6_family-3883#Unknown	rnd-6_family-3883#Unknown	3	278	281	3.6	18.496	342	207.348
rnd-1_family-265#Unknown	B4A	278	2	280	72.03	19.133	286	155.615
rnd-5_family-703#Unknown	PB1D9	148	127	275	28.81	22.064	1236	98.524
rnd-5_family-472#Unknown	ORR1D1	79	193	272	57.63	21.455	4085	301.791
rnd-1_family-337#Unknown	OldhAT1	105	165	270	32.42	14.972	833	175.594
rnd-5_family-473#Unknown	MamSINE1	268	2	270	93.65	16.056	1735	294.123
rnd-1_family-10#Unknown	PB1D9	164	104	268	4883.95	6.952	364	114.775
rnd-5_family-145#Unknown	MTD-int	96	168	264	64.83	21.041	841	365.873
rnd-5_family-334#Unknown	rnd-5_family-334#Unknown	98	165	263	817.59	27.531	750	725.812
rnd-1_family-133#Unknown	B4A	160	102	262	54.03	12.633	12	65.417
rnd-5_family-382#Unknown	rnd-5_family-382#Unknown	259	0	259	0	25.851	1705	168.413
rnd-1_family-245#Unknown	ORR1D1	252	4	256	3.6	14.584	1249	124.561
rnd-1_family-247#Unknown	ORR1D1	252	4	256	18.01	16.828	357	110.238
rnd-5_family-423#Unknown	L3	110	146	256	151.27	9.891	1977	191.605
rnd-1_family-286#Unknown	PB1D9	162	90	252	212.5	8.45	12	74.167
rnd-1_family-90#Unknown	Lx7	210	41	251	93.65	19.242	175	79.137
rnd-1_family-94#Unknown	Lx6	226	25	251	428.61	21.066	1396	197.506
rnd-6_family-1489#Unknown	rnd-6_family-1489#Unknown	1	248	249	0	26.657	619	369.801
rnd-1_family-131#Unknown	rnd-1_family-131#Unknown	1	245	246	32.42	14.794	132	75.182
rnd-1_family-332#Unknown	B4	245	0	245	64.83	12.197	168	119.381
rnd-1_family-33#Unknown	MTD	148	97	244	6166.17	16.021	21527	188.663
rnd-6_family-4907#Unknown	B4	203	41	244	248.52	23.097	2768	104.866
rnd-4_family-318#Unknown	rnd-4_family-318#Unknown	76	166	242	10.81	24.2	1603	287.084
rnd-5_family-3098#LTR/ERVL-MaLR	ORR1D1-int	108	133	241	187.29	21.668	9724	458.873
rnd-1_family-316#Unknown	rnd-1_family-316#Unknown	24	210	234	0	21.613	320	249.859
rnd-1_family-25#Unknown	B4	150	83	233	1361.46	23.11	34915	200.843
rnd-1_family-13#Unknown	MER52-int	156	76	232	907.64	14.829	262	99.004
rnd-6_family-4832#LTR/ERV1	PB1D9	66	166	232	25.21	22.825	384	542.935
rnd-5_family-91#Unknown	rnd-5_family-91#Unknown	22	209	231	0	29.404	1183	620.495
rnd-1_family-242#Unknown	MTEb	1	229	230	57.63	17.158	2408	186.704
rnd-1_family-172#Unknown	MTD	210	19	229	158.48	18.826	3260	296.887
rnd-1_family-23#Unknown	B4	133	95	228	1267.81	8.324	66	71.667
rnd-6_family-3941#LTR/ERVK	PB1D9	41	186	227	14.41	23.253	395	317.397
rnd-5_family-149#Unknown	rnd-5_family-149#Unknown	226	0	226	180.09	16.178	805	241.185
rnd-1_family-220#Unknown	MLT2B1	8	217	225	21.61	3.513	200	53.58
rnd-1_family-59#Unknown	MTD	216	7	223	4289.67	14.745	483	90.333
rnd-5_family-531#Unknown	B4A	197	24	221	1455.1	23.305	2953	129.816
rnd-4_family-989#LTR/ERVK	rnd-4_family-989#LTR/ERVK	28	191	219	7.2	22.057	202	311.233
rnd-6_family-5852#Unknown	Charlie1a	13	203	216	0	26.435	533	209.839
rnd-1_family-29#Unknown	B4A	148	62	210	8943.11	18.356	1086	141.966
rnd-1_family-31#Unknown	B4A	148	62	210	3709.79	17.425	1140	121.685
rnd-5_family-1159#Unknown	Charlie11	181	29	210	1664	15.671	955	186.914
rnd-1_family-32#Unknown	rnd-6_family-1390#Unknown	147	62	209	3054.27	17.416	75	110.32
rnd-6_family-1390#Unknown	B4A	174	35	209	7.2	20.195	169	241.497
rnd-1_family-151#Unknown	rnd-6_family-1967#Unknown	47	160	207	3.6			
rnd-6_family-1967#Unknown	B4A	194	13	207	0	21.026	482	231.695
rnd-1_family-196#Unknown	MT2A	206	0	206	1069.72	19.902	777	194.084
rnd-6_family-7625#LTR/ERV1	MER34-int	84	121	205	0	26.372	358	414.056
rnd-6_family-3947#Unknown	MTD	44	159	203	50.42	22.42	3663	89.946
rnd-1_family-37#Unknown	B4	184	16	200	1289.42	17.394	66	80.409
rnd-1_family-28#Unknown	B4A	163	36	199	378.18	23.137	1390	162.317
rnd-1_family-41#Unknown	MTEb-int	19	178	197	212.5	15.3	90	214.956
rnd-5_family-683#LTR/ERVL-MaLR	B4A	188	9	197	3.6	25.227	3599	234.349
rnd-1_family-93#LINE/L1	L1MA4	47	149	196	0			
rnd-1_family-12#Unknown	PB1D9	155	39	194	1055.31	10.8	10	144.9
rnd-6_family-2888#Unknown	LX3	191	3	194	309.75	2.34	134	39.254
rnd-6_family-2395#Unknown	rnd-6_family-4073#Unknown	193	0	193	39.62	13.11	285	450.025
rnd-6_family-4073#Unknown	B4	193	0	193	61.23	18.863	125	422.744
rnd-4_family-1262#Unknown	LTR84a	19	173	192	108.05	17.352	1230	462.85
rnd-1_family-97#Unknown	Lx7	187	4	191	126.06	21.811	343	133.309
rnd-5_family-333#Unknown	rnd-5_family-333#Unknown	121	69	191	4901.96	18.669	1049	274.824
rnd-1_family-197#Unknown	MTE2a	19	172	190	75.64	16.487	38	140.763
rnd-6_family-1553#Unknown	PB1D7	63	127	190	14.41	24.033	978	218.925
rnd-1_family-35#Unknown	B4A	141	47	189	886.03	17.45	8	96.25
rnd-5_family-3262#Unknown	ORR1E	183	1	184	504.24	15.043	1056	257.358
rnd-5_family-541#Unknown	MTD-int	40	143	183	835.6	21.59	1663	420.789
rnd-6_family-1744#Unknown	L3b	26	154	180	0	13.366	253	843.3
rnd-6_family-485#Unknown	rnd-6_family-485#Unknown	20	160	180	28.81	4.966	245	57.167
rnd-1_family-57#Unknown	ORR1D1	141	38	178	626.7	15.358	5495	237.827
rnd-5_family-223#Unknown	L1M3	0	178	178	3641.35	13.783	339	353.534
rnd-6_family-2220#Unknown	X6B_LINE	1	177	178	3.6	14.052	248	330.69
rnd-6_family-10773#LTR/ERV1	RodERV21-int	22	154	176	32.42	20.572	220	660.577
rnd-6_family-1152#Unknown	PB1D7	170	2	172	0	23.567	4040	146.67
rnd-1_family-27#Unknown	rnd-6_family-734#Unknown	148	21	168	1541.54	23.855	39998	183.961
rnd-1_family-2#Unknown	B4A	100	68	168	558.27			
rnd-1_family-5#Unknown	B4	100	68	168	504.24	18.16	5	81.4
rnd-6_family-734#Unknown	B4	8	160	168	0	25.274	501	274.633
rnd-6_family-2031#Unknown	RMER5	8	159	167	0	20.268	173	281.451
rnd-1_family-7#Unknown	PB1D9	97	67	164	280.94	7.867	3	33.667
rnd-6_family-2928#LTR/ERVK	PB1D9	113	51	164	79.24	17.649	226	455.898
rnd-1_family-78#LINE/L1	L1MA4	117	44	162	61.23	20.45	58	81.603
rnd-6_family-3835#Unknown	L3	61	98	159	0	23.071	342	741.588
rnd-1_family-159#LTR/ERVK	PB1D9	122	36	158	5950.07	16.052	4816	601.503
rnd-4_family-2461#Unknown	MIR3	95	62	158	810.39	12.164	3714	284.616
rnd-6_family-2754#Unknown	MER70B	13	145	158	21.61	21.649	2009	93.447
rnd-1_family-129#Unknown	Lx7	156	0	156	28.81	20.447	325	158.172
rnd-1_family-98#Unknown	MLT2D	86	66	152	489.84	15.306	558	258.158
rnd-1_family-345#Unknown	Lx6	144	7	151	5056.84	3.718	821	78.754
rnd-1_family-65#Unknown	ORR1D1	8	143	151	954.46	18.537	5182	153.462
rnd-6_family-3648#Unknown	IAPLTR_MA	72	80	151	39.62	20.407	3374	298.868
rnd-1_family-95#Unknown	MTD	3	147	150	151.27	16.226	367	86.232
rnd-6_family-62#Unknown	PB1D10	18	128	147	3.6	24.528	4883	100.674
rnd-5_family-475#Unknown	B4A	144	2	146	18.01	24.693	2318	166.905
rnd-5_family-175#Unknown	Lx7	0	145	145	0	19.6	275	251.476
rnd-1_family-26#Unknown	B4A	86	57	143	2895.79	22.166	53773	210.991
rnd-6_family-995#Unknown	Charlie11	121	22	143	50078.52	11.521	3531	507.396
rnd-1_family-56#Unknown	rnd-6_family-1878#LTR/ERV1	75	66	141	108.05	18.033	1987	264.713
rnd-6_family-1878#LTR/ERV1	Lx6	10	131	141	0	23.507	252	391.921
rnd-1_family-210#Unknown	PB1D7	78	61	139	82.84	16.447	219	104.406
rnd-6_family-1408#Unknown	rnd-1_family-210#Unknown	37	102	139	21.61	23.211	1097	81.974
rnd-4_family-1254#Unknown	rnd-5_family-894#Unknown	1	136	138	0	22.265	1299	511.737
rnd-5_family-894#Unknown	rnd-4_family-1254#Unknown	1	137	138	10.81	23.142	380	153.347
rnd-6_family-555#Unknown	B4A	48	89	137	3857.46	21.003	9778	151.704
rnd-1_family-74#Unknown	B4	78	58	136	1228.19	13.544	6543	263.624
rnd-5_family-16#Unknown	X6A_LINE	10	126	136	3.6	25.811	12961	230.52
rnd-1_family-6#Unknown	MIR3	72	63	134	3684.57	12.324	139	99.446
rnd-6_family-9761#Unknown	PB1D9	17	116	134	0	22.198	241	467.349
rnd-3_family-25#Unknown	MTD	61	72	133	169.28	23.518	1509	197.879
rnd-6_family-837#Unknown	L3	65	68	133	36.02	17.338	306	626.487
rnd-6_family-859#Unknown	rnd-6_family-859#Unknown	55	78	133	0	16.734	327	273.183
rnd-6_family-2437#Unknown	rnd-6_family-2437#Unknown	123	9	132	3.6	24.003	2397	110.942
rnd-1_family-104#Unknown	ORR1E	60	71	131	208.9	11.791	23	61.957
rnd-3_family-137#Unknown	Lx8	112	19	131	0	28.35	6943	208.986
rnd-6_family-5324#Unknown	B4	78	53	131	0	26.186	1119	209.373
rnd-1_family-15#Unknown	ORR1D1	64	66	130	1491.12	15.511	56	86.875
rnd-3_family-371#Unknown	PB1D9	125	5	130	486.23	15.882	6290	309.02
rnd-1_family-39#Unknown	B4A	127	1	128	630.3	20.553	58	70.345
rnd-6_family-2097#Unknown	Zaphod2	18	109	128	122.46	15.076	114	388.851
rnd-1_family-267#Unknown	L2a	88	39	127	187.29	5.075	4	61.75
rnd-5_family-227#Unknown	rnd-6_family-5769#Unknown	0	125	125	100.85	20.562	118	140.051
rnd-6_family-5769#Unknown	MTD-int	0	125	125	0	24.697	183	169.383
rnd-5_family-620#Unknown	Lx8b	14	110	124	205.3	23.668	19727	314.701
rnd-6_family-2852#LTR/ERVK	PB1D9	109	15	124	0	20.947	631	434.862
rnd-6_family-5186#Unknown	rnd-6_family-5186#Unknown	123	1	124	0	16.983	175	467.177
rnd-1_family-101#Unknown	MTD	27	96	123	1523.53	13.969	134	90.537
rnd-6_family-13#Unknown	Lx6	65	57	122	0	22.875	590	376.246
rnd-6_family-335#Unknown	B4	107	14	121	18.01	24.2	5501	169.686
rnd-1_family-79#Unknown	MER70B	50	69	119	16452.72	5.438	1357	125.274
rnd-5_family-148#Unknown	L1M4b	78	39	118	75.64	20.824	1446	390.624
rnd-5_family-654#LINE/L1	L1MA4	107	11	118	50.42	21.544	8388	587.426
rnd-6_family-191#Unknown	PB1D9	0	118	118	0	24.75	540	363.169
rnd-1_family-45#Unknown	rnd-6_family-2648#Unknown	17	100	117	738.36	19.354	11182	286.911
