gene	Human1	Human2	Human3	Human4	Human5	Monkey1	Monkey2	Monkey4	Monkey5	Rabbit1	Rabbit2	Rabbit4	Rabbit5	GuineaPig1	GuineaPig2	GuineaPig3	Mouse1	Mouse2	Mouse3	Mouse4	Mouse5	Rat1	Rat2	Rat3	Rat4	Rat5	ChineseHamster1	ChineseHamster2	ChineseHamster3	ChineseHamster4	ChineseHamster5	GoldenHamster1	GoldenHamster2	GoldenHamster3	GoldenHamster4	Dog1	Dog2	Dog3	Pig1	Pig2	Pig3	Pig4	Pig5	Goat1	Goat2	Goat3	Zebrafish1	Zebrafish2	Zebrafish3
TDRKH	7.43	6.97	15.08	24.08	16.48	0.0	1.93	0.0	0.0	45.48	43.03	96.15	42.49	1228.23	665.44	899.49	2.29	4.57	12.15	8.53	11.55	114.12	147.07	134.23	123.31	135.1	114.92	99.37	179.45	79.09	134.24	368.21	361.49	321.27	363.63	83.1	167.39	164.21	77.62	97.96	60.7	65.73	83.82	37.55	37.75	31.57	66.66	66.49	76.97
PIWIL2	19.18	14.57	5.94	11.93	14.81	8.3	9.31	15.91	7.45	16.57	18.02	16.72	26.57	0.0	1.38	0.96	0.19	0.0	0.0	0.0	0.0	7.46	5.96	2.01	3.82	2.34	4.38	6.88	4.25	4.67	4.81	0.0	1.56	0.44	0.0	26.9	34.49	16.73	20.98	49.94	22.6	23.42	38.49	5.52	12.97	18.27	27.92	30.4	30.37
PIWIL1	11.66	21.82	7.1	5.15	5.43	19.39	22.69	16.13	19.51	0.0	0.0	1.0	0.0	290.27	149.16	82.02	7.25	12.53	7.01	6.84	13.01	82.9	135.11	121.06	106.54	80.7	3.27	3.55	4.15	3.65	5.82	45.62	18.52	9.9	38.0	19.43	18.46	20.79	69.92	75.52	60.55	83.53	51.86	106.95	40.49	71.07	25.93	33.38	25.58
SETDB1	6.65	1.63	3.85	5.69	7.36	33.41	13.74	18.41	17.85	54.45	50.0	42.56	54.7	0.92	17.74	10.44	19.44	58.33	22.36	23.05	27.86	52.48	58.33	49.59	31.89	28.43	63.97	59.9	60.78	67.08	68.57	61.88	60.3	129.69	88.89	7.18	11.9	21.79	111.92	129.07	101.92	103.12	105.31	16.88	28.61	49.75	47.13	52.47	63.61
PLD6	3.53	6.28	3.76	0.77	2.37	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.57	146.82	126.15	3.9	6.19	4.25	8.79	4.19	0.0	0.0	0.0	0.0	0.0	0.27	9.41	1.3	7.53	10.24	0.0	26.57	18.67	24.24	0.0	2.98	0.0	0.0	0.0	0.0	1.62	0.0	0.0	0.0	0.0	79.08	89.26	91.55
TDRD9	3.21	5.11	2.83	2.88	1.35	2.43	6.5	7.7	3.04	2.97	2.76	5.73	5.47	20.26	5.36	10.67	1.26	1.52	1.6	1.3	0.84	0.0	0.0	0.0	0.0	0.0	15.45	10.23	6.03	10.84	10.11	0.0	0.96	0.0	2.55	7.03	8.94	5.62	0.0	0.0	0.0	0.0	0.0	2.3	0.73	3.05	3.72	3.74	5.82
TDRD5	3.27	3.64	0.97	2.91	1.45	8.91	5.88	9.27	9.91	4.64	3.27	3.83	10.52	444.9	161.23	223.4	10.98	6.15	11.08	4.76	11.53	132.5	116.13	141.67	99.06	84.0	7.41	14.77	15.17	10.19	13.12	1.78	4.1	3.51	8.53	20.28	14.61	10.59	37.55	39.8	37.14	47.91	42.11	30.94	37.76	31.98	16.07	11.17	16.14
TDRD12	1.74	0.92	4.54	0.51	1.08	5.38	7.54	5.61	10.14	12.43	12.32	15.45	17.34	125.67	92.46	84.35	111.08	116.42	89.96	89.89	96.95	124.17	133.31	113.58	90.88	89.56	284.47	254.96	312.45	291.01	250.69	1.43	0.0	0.0	3.25	0.0	0.0	0.4	3.78	6.38	8.34	5.01	4.07	0	0	0	12.97	20.9	20.39
GPAT2	0.98	0.0	1.96	0.29	0.52	11.61	1.81	2.4	0.0	0.0	0.0	6.81	9.56	0.0	9.55	8.69	0.0	0.0	0.0	0.02	0.0	2.52	0.0	0.0	2.42	3.7	152.38	144.22	161.24	120.25	170.04	11.06	0.0	4.76	14.04	1.92	0.39	0.0	3.02	0.0	0.78	0.83	3.85	0.69	0.0	0.0	32.87	30.47	26.96
MYBL1	0.23	0.42	0.29	0.66	1.0	23.25	19.57	11.8	14.18	0.73	0.0	1.49	1.81	3.34	10.94	11.42	10.98	7.48	2.8	3.92	10.16	27.43	13.8	12.96	10.92	20.02	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.46	16.01	7.3	9.66	6.56	9.37	11.33	7.86	5.96	9.31	4.55	9.44	5.31	5.37
PIWIL4	0.47	0.0	0.13	0.18	1.3	0.0	0.0	0.0	0.0	0.33	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.79	4.46	2.57	7.09	6.73	11.48	10.51	2.9	16.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
MOV10L1	0.23	0.0	0.71	0.32	0.44	1.25	0.0	2.49	0.0	3.02	2.89	3.48	3.87	43.93	18.93	23.7	0.55	2.15	0.78	1.12	3.69	28.29	15.61	7.22	3.41	13.19	63.95	57.56	66.5	57.5	67.27	5.99	2.42	2.36	14.16	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.11	0.96	26.91	31.18	19.49
GLI1	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.54	2.26	0.46	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	1.92	1.13
GLI3	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	1.17	1.36	0.75	1.41	0.0	0.0	0.0	23.81	35.51	16.26	3.43	30.72	14.16	6.35	5.16	2.42	9.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	1.02	0.0	1.76
GLI2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.45	0.77	4.69	0.28	2.36	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	1.66
SPOCD1	0.0	0.0	0.0	0.0	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	80.77	25.32	24.1	5.45	5.12	7.16	3.9	9.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.89	0.0			
