TE	sense	antisense	total	RNAseq	div	copies	length
RNLTR2c	2338	52	2391	150.39	9.225	1241	276.645
RNLTR3c	2331	1	2332	70.18	9.347	187	374.005
B2_Rat1	1131	1132	2263	14925.37	9.094	16543	159.008
RMER3	1044	1218	2263	1677.68	10.193	6163	420.716
Lx2B	331	1907	2239	0	17.892	6970	823.904
B2_Rat4	1006	1166	2173	18862.25	9.332	43172	165.766
B2_Rat3	1006	1166	2172	8966.59	10.561	19324	156.231
RNLTR3b	2026	9	2035	404.38	7.139	558	438.783
RMER17A_Rn-LTR	113	1896	2009	36.76	14.194	940	205.524
B2_Rn2	1021	963	1984	6597.11	8.881	4152	150.872
B2_Rn	1044	878	1922	10918.31	4.318	4682	168.01
RNLTR8F	7	1888	1895	110.29	11.646	384	284.5
RMER13A	2	1862	1864	30.08	25.071	3021	480.197
B2_Rn1	913	908	1821	8852.96	5.141	5060	167.269
ORR1B1-int	1806	5	1811	163.76	19.01	2264	578.483
MTC-int	1716	54	1770	11479.77	21.796	3647	453.739
Lx2B2	131	1595	1726	0	17.608	10483	624.448
ID4_	1250	470	1719	26.74	26.844	25663	70.336
B2_RnY	822	848	1670	1574.08	15.073	532	105.56
MTD	1317	299	1616	2663.57	24.284	51223	271.701
RLTR19-int	1339	38	1378	43.45	21.15	2686	344.727
RMER16-int	1177	172	1349	16.71	18.062	926	746.267
NICER2_Rn	822	510	1332	401.04	3.366	1091	530.527
ID_B1	909	386	1295	701.82	26.882	114096	131.505
ORR1A4	951	120	1071	1136.28	13.852	10750	275.698
RMER3D-int	399	664	1063	20.05	16.284	1937	575.087
ERVB5_5-I_RN	496	396	892	0	18.408	24	1140.5
BGLII_Mur	861	0	861	10.03	19.678	754	342.854
RNLTR11a	0	796	796	1828.07	14.008	309	260.56
RNLTR3a	681	74	755	2195.69	2.975	479	418.261
RLTR1_Rat1	663	75	738	591.53	7.38	650	448.768
Lx7	10	672	682	0	24.28	37333	418.456
RNLTR11b	0	664	664	454.51	17.042	353	299.652
RNERVK22	402	236	638	3.34	12.714	180	1482.061
L1_Rod2	39	595	635	0			
ORR1B1	472	100	572	1163.02	16.472	15164	298.628
RAL_Rn	2	561	563	56.81	7.132	526	556.743
RNNICER3-int	238	284	522	20.05	20.914	365	1825.745
RMER19C	324	138	461	337.54	20.811	3773	440.54
RNERVK3	418	37	454	13.37	15.557	237	1250.793
LTR10_RN	0	435	435	10.03	19.722	634	254.438
RLTR32_Rn	412	5	417	11259.2	21.33	15728	92.909
ERVB2_2-I_RN	350	62	412	0	26.858	123	794.846
ORR1C1	387	22	409	444.49	18.281	7931	266.795
RMER17C2	269	129	398	11653.55	20.996	3508	196.196
RNLTR9	227	171	398	414.41	9.541	1391	273.144
RNLTR4a	318	79	397	2072.04	8.363	1174	336.257
RNLTR2a	388	0	388	190.49	7.821	273	176.231
MT2_Rat1	38	345	383	187.15	9.656	616	336.575
L1_Rod	65	314	379	0	25.822	10441	386.703
B3	190	188	378	3385.45	23.355	152411	167.26
RMER3B2_LTR	113	264	377	1330.12	11.57	2485	423.495
MYSERV16_I	124	235	359	40.1	20.022	2440	566.171
RNLTR4b	269	76	345	367.62	7.371	679	343.445
RNERV19	242	99	341	3.34	29.468	845	889.37
RLTR33	336	0	336	16.71	15.891	1265	488.123
Lx4B	67	265	332	0	20.196	6666	565.469
RMER3B	75	252	326	1480.51	12.083	3875	441.897
ERVB5_4-I_RN	108	215	324	0	21.957	208	651.327
MERVK26	19	267	287	6.68	22.869	1039	604.66
RNLTR20	2	271	273	63.5	10.85	367	512.368
Lx4A	64	206	270	0	16.838	11020	554.916
RNLTR2d	259	5	264	10604.17	19.081	10872	71.091
RLTR32B_Rn	260	0	260	46.79	15.457	342	396.833
RMER13B	0	250	250	270.7	18.973	2415	603.177
Lx5b	49	200	248	0	19.129	7353	607.324
ORR1B2	213	19	232	731.9	17.159	8140	272.348
Lx5	52	176	228	0	20.588	15886	600.553
SRV_RN-int	195	32	227	6.68	22.322	147	857.347
RNLTR10-int	99	95	193	0	24.308	1451	759.949
RMER17C	40	149	189	227.26	18.868	6407	231.086
MT2_Rat2	37	142	179	297.44	11.383	864	325.669
RLTR18-int	165	11	176	10.03	22.848	459	306.431
ERVB4_6-I_RN	170	1	171	6.68	17.788	242	897.153
LTR72_RN	89	80	169	0	26.942	994	224.728
RNHAL1	114	55	169	1480.51	7.955	20129	822.358
RLTR20A4	158	4	162	17746.02	19.699	18988	77.469
RNLTR23	113	48	161	23.39	11.395	102	379.892
Lx5c	40	110	150	0	21.411	16368	488.118
B3A	63	82	145	1991.83	27.168	101073	148.338
B1_Mur4	8	125	133	7088.38	17.007	32213	124.599
ZP3AR	102	30	131	110.29	16.837	2590	186.992
B1_Rn	8	122	130	11770.52	17.167	56708	121.864
NICER1C_Rn_LTR	105	3	109	240.62	5.025	349	493.198
NICER_Rn	78	31	109	197.18	2.97	467	469.535
MT2B	0	98	98	457.85	22.029	5526	147.508
RCHARR1	92	0	92	16.71	25.168	6718	317.932
MERVL_2A	89	2	91	16.71	20.949	3113	557.386
MT2B2	1	90	91	1340.14	18.974	1977	247.899
RLTR10-int	10	80	90	33.42	15.5	62	156.806
RMER4B	88	0	88	651.69	19.544	5143	321.07
NICER1D_Rn_LTR	76	11	87	10.03	7.582	129	407.713
ERVB1_3-I_RN	10	74	83	0	20.463	24	1299.417
NICER1B_Rn_LTR	81	1	82	63.5	2.761	123	466.301
B1F	78	1	79	2068.7	26.192	45870	110.289
RLTR12G	78	0	78	123.65	21.157	286	386.787
NICER1E_Rn_LTR	72	0	72	93.58	5.465	103	521.689
RNLTR15A2	8	63	71	277.39	15.291	1508	200.562
RNLTR15A	8	63	71	267.36	13.234	942	520.242
RatSatRep1	66	3	69	0	15.949	9928	1250.357
ORR1C2	56	8	64	217.23	19.077	11054	232.391
RLTR31M	64	0	64	33.42	18.682	241	374.817
RLTR31_Mur	64	0	64	20.05	20.465	496	385.645
RLTR31_Rn1	64	0	64	46.79	16.397	782	414.381
RMER17D	52	9	61	287.41	22.796	793	168.971
URR1A	56	4	61	685.11	16.347	18439	183.013
URR1B	56	4	61	765.32	16.924	17142	177.719
RMER16B3	0	55	55	10.03	14.485	128	278.273
RNLTR13	55	0	55	6.68	19.298	93	417.71
MT2A	51	1	52	247.31	27.802	9056	276.837
NICER3A_Rn	50	2	52	43.45	6.063	345	430.6
NICER3B_Rn	50	2	52	143.71	5.177	83	440.241
RLTR11B	1	51	52	100.26	15.852	1182	313.937
RLTR10_Rat	0	50	50	3455.63	8.388	644	326.543
Lx11	22	26	47	0			
RNLTR19B	47	0	47	90.23	5.858	736	454.545
RNLTR19BX	45	1	47	0	13.257	204	393.529
IMPB_02	44	0	44	0	13.783	23	874.739
RNLTR2b	44	0	44	13.37	7.003	224	344.335
RLTR12B	43	0	43	43.45	18.554	901	368.981
RMER20C_Mm	0	43	43	26.74	25.889	1926	330.205
ORR1D1	40	2	42	340.88	21.327	20735	240.471
RodERV21	0	42	42	0	27.451	1264	524.884
RLTR10B_Rat	0	40	40	46.79	9.181	224	314.545
RMER19B2	2	38	40	404.38	18.572	2641	507.372
Lx6	6	29	34	0	23.69	16476	540.077
PB1D10	2	31	33	598.22	26.526	67156	95.469
ERVB1_2-I_RN	20	10	30	0	22.404	23	639.957
RLTR46	0	28	28	20.05	16.543	14	119.857
ORR1D-int	25	0	26	40.1	26.079	574	349.122
RLTR31_Rn3	26	0	26	30.08	15.494	391	429.161
RMER20A	26	0	26	33.42	21.582	1245	360.318
B4	11	15	25	73.52	28.428	66285	171.109
B4A	11	14	25	100.26	29.157	109276	188.29
RLTR14-int	22	3	24	10.03	25.266	2539	356.941
B1_Mur3	14	9	23	3642.78	18.426	28884	123.03
RLTR42-int	22	1	23	13.37	22.995	2583	274.286
RMER4A	22	1	22	223.91	20.485	3472	243.13
RMER6-int	22	0	22	223.91	18.303	716	417.281
Lx10	2	20	21	0	24.335	10460	296.245
RLTR22_Mur	3	18	21	46.79	19.846	4228	471.108
RMER3C	10	9	20	40.1	16.054	951	456.21
RLTR22_Rat2	1	18	19	43.45	17.536	901	487.859
RLTR22_Rat1	0	18	18	83.55	17.731	985	481.385
RMER17B	0	16	17	0	27.849	37	131.622
RMER3D4	6	11	17	16.71	13.779	306	385.915
RMER3D2	6	10	16	40.1	14.976	229	345.934
RMER6D	0	15	15	56.81	19.39	2205	375.277
RNLTR19	14	0	14	6.68	7.224	49	345.143
RMER3D1A_LTR	2	10	12	340.88	13.593	630	389.163
B1F2	9	2	11	915.71	24.933	17848	109.671
B1_Mur1	9	2	11	1714.45	22.085	41020	121.314
RMER17D2	8	3	11	26.74	23.836	439	153.74
B1F1	9	1	10	434.46	26.733	19939	109.356
B1_Mur2	7	3	10	1627.55	20.637	31464	122.376
RLTR1_Rat2	10	1	10	53.47	12.541	88	437.375
RMER1C	0	10	10	127	23.415	4844	346.46
RMER12B	9	0	9	23.39	20.818	1049	449.296
RNLTR18	0	9	9	177.13	10.632	555	315.914
BGLII_B	8	0	8	300.78	20.976	1429	321.451
RMER6A	4	4	8	1036.02	16.153	4475	441.297
L1VL4a	5	3	7	0	17.9	11971	639.543
PB1D7	2	4	7	130.34	26.092	25252	97.362
RLTR17	7	0	7	6.68	25.025	77	320.247
Lx8b	4	2	6	0	25.302	21364	357.942
RLTR16_Rn	0	6	6	50.13	21.961	1384	378.35
RMER3D1	6	0	6	40.1	14.734	483	434.306
RMER3D3	5	2	6	23.39	15.715	132	285.75
LTR1_Rn	0	5	5	147.05	8.717	284	630.264
Lx8	3	2	5	0	28.664	52552	337.265
MT2B1	3	2	5	1333.46	21.727	7563	274.993
PB1D9	2	3	5	972.52	22.044	28141	97.673
RMER1B	2	4	5	167.1	21.621	7195	489.977
Charlie12_Rodent	3	0	4	0	27.11	1524	174.337
RMER2B_Rn	2	1	4	123.65	17.453	764	335.466
RMER6C	0	4	4	678.43	18.544	4747	391.316
RSINE1	0	4	4	287.41	28.071	126806	122.92
Lx9	0	3	3	0	24.423	50121	327.308
MLTR11B	3	0	3	3.34	24.46	2976	298.085
RLTR31M3D_Rn	3	0	3	314.15	16.232	1218	516.711
RMER15-int	3	0	3	0	29.917	3156	396.169
RNLTR7a2	3	0	3	411.07	8.46	307	394.322
RNLTR7a	3	0	3	1089.49	12.449	1756	411.064
4.5SRNA	2	0	2	120.31	16.719	1111	75.271
MLTR14	0	2	2	16.71	25.396	6713	263.484
MTE-int	2	0	2	13.37	30.89	4756	349.377
MurSatRep1	0	2	2	1848.13	25.734	1311	313.841
ORR1E	0	1	2	63.5	28.838	24246	243.553
PB1	2	0	2	143.71	28.017	7922	98.075
RatERVL	2	0	2	10.03	14.425	1014	823.701
RLTR10F	0	2	2	0	23.2	4	75
RLTR31M3D2_Rn	2	0	2	63.5	15.805	728	503.319
RLTR40	1	2	2	30.08	23.015	2506	341.236
RLTR43A	0	2	2	0	12.026	163	287.791
RLTR43_Rat	0	2	2	3.34	8.957	56	327.464
RMER16B	0	2	2	3.34	12.203	87	326.494
RMER16C	0	2	2	56.81	12.514	196	303.878
RNIAP1aLTR	0	2	2	23.39	2.647	780	268.968
RNIAP1bLTR	0	2	2	10.03	3.884	179	325.659
RNLTR16C	0	2	2	6.68	11.557	187	400.904
RNLTR2e	0	2	2	16.71	12.698	457	316.558
BGLII_B2	1	0	1	23.39	22.217	826	271.436
ERVB2_2-LTR_RN	1	1	1	0	15.932	79	620.038
MLTR11A	0	1	1	3.34	23.195	2150	340.756
MTEa	1	0	1	193.84	27.22	20704	227.295
MurSatRep2	0	1	1	5487.56	14.176	71	429.845
ORR1F	1	0	1	0	29.296	24438	219.369
RLTR12B2	1	0	1	0	18.4	138	271.522
RLTR12D	1	0	1	0	24.193	882	332.629
RLTR13D	0	1	1	0	26.497	32	114.312
RLTR26_Rn	1	0	1	147.05	14.646	214	459.117
RMER1A	1	0	1	56.81	21.912	3238	582.644
RMER21B	1	0	1	40.1	23.378	1226	247.465
RMER5	1	0	1	30.08	26.294	7656	297.799
RMER6B	0	1	1	1266.62	17.038	1480	294.068
RNLTR19A	1	0	1	23.39	5.894	352	451.332
BGLII_A	0	0	0	26.74	15.116	147	305.483
BGLII_Rat	0	0	0	16.71	14.985	432	319.236
ERVB4_6-LTR_RN	0	0	0	23.39	15.786	388	315.332
LTR2_Rn	0	0	0	3.34	7.816	108	783.333
MLTR73	0	0	0	0	27.796	1019	171.892
MRLTR33	0	0	0	3.34	20.792	617	226.091
ORR1D2	0	0	0	157.07	25.315	14575	250.16
RLTR01_Rn	0	0	0	20.05	5.666	277	501.978
RLTR12C	0	0	0	13.37	22.645	346	310.63
RLTR21	0	0	0	40.1	21.394	3339	422.423
RLTR28	0	0	0	40.1	16.981	2175	365.148
RLTR28B	0	0	0	16.71	22.396	818	276.101
RLTR31_Rn2	0	0	0	123.65	19.931	2253	363.482
RLTR32C_Rn	0	0	0	13.37	14.089	336	445.518
RMER12C	0	0	0	721.87	25.424	5845	197.503
RMER16B2	0	0	0	53.47	14.205	364	299.607
RNLTR11c	0	0	0	153.73	14.203	317	279.817
RNLTR12	0	0	0	40.1	2.205	220	492.041
RNLTR14	0	0	0	782.03	10.377	544	345.743
RNLTR14B	0	0	0	66.84	8.23	23	217.217
RNLTR16	0	0	0	93.58	12.963	79	276.734
RNLTR16B	0	0	0	110.29	10.748	249	419.209
RNLTR7b	0	0	0	56.81	9.425	76	348.868
RNLTR8C2	0	0	0	153.73	13.344	729	285.84

